From,UniprotID,Reviewed,Entry Name,Protein names,Gene,Organism,Length,Uniprot_Gene
CTSA,A0A7I2V3M2,unreviewed,A0A7I2V3M2_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),203,A0A7I2V3M2_CTSA
CTSA,A0A7I2V4D1,unreviewed,A0A7I2V4D1_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),363,A0A7I2V4D1_CTSA
CTSA,A0A7I2V4K5,unreviewed,A0A7I2V4K5_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),450,A0A7I2V4K5_CTSA
CTSA,A0A7I2V4Q9,unreviewed,A0A7I2V4Q9_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),215,A0A7I2V4Q9_CTSA
CTSA,A0A7I2V4R8,unreviewed,A0A7I2V4R8_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),260,A0A7I2V4R8_CTSA
CTSA,A0A7I2V504,unreviewed,A0A7I2V504_HUMAN,Cathepsin A,CTSA,Homo sapiens (Human),78,A0A7I2V504_CTSA
CTSA,A0A7I2YQT8,unreviewed,A0A7I2YQT8_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),371,A0A7I2YQT8_CTSA
CTSA,L8E8P5,unreviewed,L8E8P5_HUMAN,Alternative protein CTSA,CTSA,Homo sapiens (Human),171,L8E8P5_CTSA
CTSA,Q5JZH0,unreviewed,Q5JZH0_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),392,Q5JZH0_CTSA
CTSA,U3KQ41,unreviewed,U3KQ41_HUMAN,Lysosomal protective protein,CTSA,Homo sapiens (Human),109,U3KQ41_CTSA
CTSA,U3KQF1,unreviewed,U3KQF1_HUMAN,Cathepsin A,CTSA,Homo sapiens (Human),82,U3KQF1_CTSA
CTSA,U3KQU6,unreviewed,U3KQU6_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),231,U3KQU6_CTSA
CTSA,X6R5C5,unreviewed,X6R5C5_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),481,X6R5C5_CTSA
CTSA,X6R8A1,unreviewed,X6R8A1_HUMAN,Carboxypeptidase (EC 3.4.16.-),CTSA,Homo sapiens (Human),498,X6R8A1_CTSA
CPVL,Q9H3G5,reviewed,CPVL_HUMAN,"Probable serine carboxypeptidase CPVL (EC 3.4.16.-) (Carboxypeptidase, vitellogenic-like) (Vitellogenic carboxypeptidase-like protein) (VCP-like protein) (hVLP)",CPVL VLP PSEC0124 UNQ197/PRO223,Homo sapiens (Human),476,Q9H3G5_CPVL
CPVL,A0A024RA40,unreviewed,A0A024RA40_HUMAN,Carboxypeptidase (EC 3.4.16.-),CPVL hCG_1745093,Homo sapiens (Human),476,A0A024RA40_CPVL
CPVL,C9J6L4,unreviewed,C9J6L4_HUMAN,Carboxypeptidase (EC 3.4.16.-),CPVL,Homo sapiens (Human),100,C9J6L4_CPVL
CPVL,C9JI22,unreviewed,C9JI22_HUMAN,Carboxypeptidase (EC 3.4.16.-),CPVL,Homo sapiens (Human),141,C9JI22_CPVL
CPVL,C9JLV0,unreviewed,C9JLV0_HUMAN,Carboxypeptidase (EC 3.4.16.-),CPVL,Homo sapiens (Human),244,C9JLV0_CPVL
CPVL,C9JVI2,unreviewed,C9JVI2_HUMAN,Carboxypeptidase vitellogenic like,CPVL,Homo sapiens (Human),43,C9JVI2_CPVL
CPVL,C9JZ94,unreviewed,C9JZ94_HUMAN,Carboxypeptidase vitellogenic like,CPVL,Homo sapiens (Human),52,C9JZ94_CPVL
CPVL,H7C0X5,unreviewed,H7C0X5_HUMAN,Carboxypeptidase vitellogenic like,CPVL,Homo sapiens (Human),180,H7C0X5_CPVL
CPVL,H7C218,unreviewed,H7C218_HUMAN,Carboxypeptidase vitellogenic like,CPVL,Homo sapiens (Human),141,H7C218_CPVL
CPVL,O75225,unreviewed,O75225_HUMAN,Carboxypeptidase (EC 3.4.16.-),CPVL,Homo sapiens (Human),295,O75225_CPVL
CPVL,Q75MM4,unreviewed,Q75MM4_HUMAN,Uncharacterized protein CPVL,CPVL,Homo sapiens (Human),180,Q75MM4_CPVL
SCPEP1,Q9HB40,reviewed,RISC_HUMAN,Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1),SCPEP1 RISC SCP1 MSTP034 UNQ265/PRO302,Homo sapiens (Human),452,Q9HB40_SCPEP1
SCPEP1,I3L195,unreviewed,I3L195_HUMAN,Serine carboxypeptidase 1,SCPEP1,Homo sapiens (Human),69,I3L195_SCPEP1
SCPEP1,I3L2N6,unreviewed,I3L2N6_HUMAN,Serine carboxypeptidase 1,SCPEP1,Homo sapiens (Human),147,I3L2N6_SCPEP1
SCPEP1,I3L4Z3,unreviewed,I3L4Z3_HUMAN,Carboxypeptidase (EC 3.4.16.-),SCPEP1,Homo sapiens (Human),176,I3L4Z3_SCPEP1
SCPEP1,I3L4Z9,unreviewed,I3L4Z9_HUMAN,Serine carboxypeptidase 1,SCPEP1,Homo sapiens (Human),135,I3L4Z9_SCPEP1
SCPEP1,I3L506,unreviewed,I3L506_HUMAN,Carboxypeptidase (EC 3.4.16.-),SCPEP1,Homo sapiens (Human),95,I3L506_SCPEP1
LACTB,P83111,reviewed,LACTB_HUMAN,"Serine beta-lactamase-like protein LACTB, mitochondrial (EC 3.4.-.-)",LACTB MRPL56 UNQ843/PRO1781,Homo sapiens (Human),547,P83111_LACTB
LACTB,H0YNN5,unreviewed,H0YNN5_HUMAN,Lactamase beta,LACTB,Homo sapiens (Human),126,H0YNN5_LACTB
CLPP,Q16740,reviewed,CLPP_HUMAN,"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)",CLPP,Homo sapiens (Human),277,Q16740_CLPP
CLPP,A0A2R8YEF5,unreviewed,A0A2R8YEF5_HUMAN,Endopeptidase Clp (EC 3.4.21.92),CLPP,Homo sapiens (Human),33,A0A2R8YEF5_CLPP
CLPP,M0QXE9,unreviewed,M0QXE9_HUMAN,ATP-dependent Clp protease proteolytic subunit,CLPP,Homo sapiens (Human),71,M0QXE9_CLPP
CLPP,M0QYV5,unreviewed,M0QYV5_HUMAN,Caseinolytic mitochondrial matrix peptidase proteolytic subunit,CLPP,Homo sapiens (Human),143,M0QYV5_CLPP
CLPP,M0R208,unreviewed,M0R208_HUMAN,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),CLPP,Homo sapiens (Human),190,M0R208_CLPP
LONP1,P36776,reviewed,LONM_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1 PRSS15,Homo sapiens (Human),959,P36776_LONP1
LONP1,A4VCH6,unreviewed,A4VCH6_HUMAN,LONP1 protein,LONP1,Homo sapiens (Human),297,A4VCH6_LONP1
LONP1,B3KU28,unreviewed,B3KU28_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1,Homo sapiens (Human),845,B3KU28_LONP1
LONP1,B3KXS5,unreviewed,B3KXS5_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1,Homo sapiens (Human),923,B3KXS5_LONP1
LONP1,B4DPX0,unreviewed,B4DPX0_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1,Homo sapiens (Human),893,B4DPX0_LONP1
LONP1,E5KMI6,unreviewed,E5KMI6_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1,Homo sapiens (Human),959,E5KMI6_LONP1
LONP1,K7EJE8,unreviewed,K7EJE8_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1,Homo sapiens (Human),829,K7EJE8_LONP1
LONP1,K7EKE6,unreviewed,K7EKE6_HUMAN,"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",LONP1,Homo sapiens (Human),845,K7EKE6_LONP1
LONP1,K7EQF8,unreviewed,K7EQF8_HUMAN,"Lon peptidase 1, mitochondrial",LONP1,Homo sapiens (Human),185,K7EQF8_LONP1
LONP1,K7ER27,unreviewed,K7ER27_HUMAN,"Lon peptidase 1, mitochondrial",LONP1,Homo sapiens (Human),242,K7ER27_LONP1
LONP1,K7ER56,unreviewed,K7ER56_HUMAN,"Lon peptidase 1, mitochondrial",LONP1,Homo sapiens (Human),210,K7ER56_LONP1
LONP1,K7ERR6,unreviewed,K7ERR6_HUMAN,"Lon peptidase 1, mitochondrial",LONP1,Homo sapiens (Human),264,K7ERR6_LONP1
LONP1,K7ERS1,unreviewed,K7ERS1_HUMAN,"Lon peptidase 1, mitochondrial",LONP1,Homo sapiens (Human),86,K7ERS1_LONP1
LONP1,Q2VPA0,unreviewed,Q2VPA0_HUMAN,Lon protease homolog (EC 3.4.21.-),LONP1,Homo sapiens (Human),848,Q2VPA0_LONP1
LONP2,Q86WA8,reviewed,LONP2_HUMAN,"Lon protease homolog 2, peroxisomal (EC 3.4.21.53) (Lon protease-like protein 2) (Lon protease 2) (Peroxisomal Lon protease) (pLon)",LONP2 LONP,Homo sapiens (Human),852,Q86WA8_LONP2
LONP2,E7EN44,unreviewed,E7EN44_HUMAN,"Lon peptidase 2, peroxisomal",LONP2,Homo sapiens (Human),605,E7EN44_LONP2
LONP2,H3BPF7,unreviewed,H3BPF7_HUMAN,"Lon peptidase 2, peroxisomal",LONP2,Homo sapiens (Human),236,H3BPF7_LONP2
LONP2,H3BQ67,unreviewed,H3BQ67_HUMAN,"Lon peptidase 2, peroxisomal",LONP2,Homo sapiens (Human),169,H3BQ67_LONP2
LONP2,H3BUW8,unreviewed,H3BUW8_HUMAN,"Lon peptidase 2, peroxisomal",LONP2,Homo sapiens (Human),300,H3BUW8_LONP2
LONP2,Q9BU35,unreviewed,Q9BU35_HUMAN,LONP2 protein,LONP2,Homo sapiens (Human),204,Q9BU35_LONP2
SEC11A,P67812,reviewed,SC11A_HUMAN,Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18),SEC11A SEC11L1 SPC18 SPCS4A,Homo sapiens (Human),179,P67812_SEC11A
SEC11A,H0YKT4,unreviewed,H0YKT4_HUMAN,"SEC11 homolog A, signal peptidase complex subunit",SEC11A,Homo sapiens (Human),129,H0YKT4_SEC11A
SEC11A,H0YNA5,unreviewed,H0YNA5_HUMAN,signal peptidase I (EC 3.4.21.89),SEC11A,Homo sapiens (Human),135,H0YNA5_SEC11A
SEC11A,H0YNG3,unreviewed,H0YNG3_HUMAN,Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89),SEC11A,Homo sapiens (Human),163,H0YNG3_SEC11A
SEC11A,H0YNX5,unreviewed,H0YNX5_HUMAN,Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89),SEC11A,Homo sapiens (Human),106,H0YNX5_SEC11A
SEC11C,Q9BY50,reviewed,SC11C_HUMAN,Signal peptidase complex catalytic subunit SEC11C (EC 3.4.21.89) (Microsomal signal peptidase 21 kDa subunit) (SPase 21 kDa subunit) (SEC11 homolog C) (SEC11-like protein 3) (SPC21),SEC11C SEC11L3 SPC21 SPCS4C,Homo sapiens (Human),192,Q9BY50_SEC11C
SEC11C,A0A0A0MR04,unreviewed,A0A0A0MR04_HUMAN,"SEC11 homolog C, signal peptidase complex subunit",SEC11C,Homo sapiens (Human),99,A0A0A0MR04_SEC11C
SEC11C,B4DI03,unreviewed,B4DI03_HUMAN,Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89),SEC11C SEC11L3 hCG_33729,Homo sapiens (Human),156,B4DI03_SEC11C
SEC11C,K7EJQ7,unreviewed,K7EJQ7_HUMAN,Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89),SEC11C,Homo sapiens (Human),161,K7EJQ7_SEC11C
FREM1,Q5H8C1,reviewed,FREM1_HUMAN,FRAS1-related extracellular matrix protein 1 (Protein QBRICK),FREM1 C9orf143 C9orf145 C9orf154,Homo sapiens (Human),2179,Q5H8C1_FREM1
FREM1,F8WE85,unreviewed,F8WE85_HUMAN,FRAS1 related extracellular matrix 1,FREM1,Homo sapiens (Human),1335,F8WE85_FREM1
IMMP2L,Q96T52,reviewed,IMP2L_HUMAN,Mitochondrial inner membrane protease subunit 2 (EC 3.4.21.-) (IMP2-like protein),IMMP2L,Homo sapiens (Human),175,Q96T52_IMMP2L
IMMP2L,A0A0C4DG32,unreviewed,A0A0C4DG32_HUMAN,Inner mitochondrial membrane peptidase subunit 2,IMMP2L,Homo sapiens (Human),80,A0A0C4DG32_IMMP2L
IMMP2L,A4D0S9,unreviewed,A4D0S9_HUMAN,Mitochondrial inner membrane protease subunit (EC 3.4.21.-),IMMP2L hCG_2039401 tcag7.50,Homo sapiens (Human),175,A4D0S9_IMMP2L
IMMP2L,C9JQE1,unreviewed,C9JQE1_HUMAN,Mitochondrial inner membrane protease subunit 2 (IMP2-like protein),IMMP2L,Homo sapiens (Human),157,C9JQE1_IMMP2L
IMMP2L,C9JVB0,unreviewed,C9JVB0_HUMAN,Inner mitochondrial membrane peptidase subunit 2,IMMP2L,Homo sapiens (Human),79,C9JVB0_IMMP2L
IMMP1L,Q96LU5,reviewed,IMP1L_HUMAN,Mitochondrial inner membrane protease subunit 1 (EC 3.4.21.-) (IMP1-like protein),IMMP1L,Homo sapiens (Human),166,Q96LU5_IMMP1L
IMMP1L,A0A0B4J221,unreviewed,A0A0B4J221_HUMAN,Inner mitochondrial membrane peptidase subunit 1,IMMP1L,Homo sapiens (Human),57,A0A0B4J221_IMMP1L
IMMP1L,A0A3B3IS22,unreviewed,A0A3B3IS22_HUMAN,Mitochondrial inner membrane protease subunit (EC 3.4.21.-),IMMP1L,Homo sapiens (Human),124,A0A3B3IS22_IMMP1L
IMMP1L,E9PIG6,unreviewed,E9PIG6_HUMAN,Mitochondrial inner membrane protease subunit (EC 3.4.21.-),IMMP1L,Homo sapiens (Human),107,E9PIG6_IMMP1L
IMMP1L,E9PNR7,unreviewed,E9PNR7_HUMAN,Mitochondrial inner membrane protease subunit (EC 3.4.21.-),IMMP1L,Homo sapiens (Human),96,E9PNR7_IMMP1L
IMMP1L,E9PR99,unreviewed,E9PR99_HUMAN,Inner mitochondrial membrane peptidase subunit 1,IMMP1L,Homo sapiens (Human),94,E9PR99_IMMP1L
IMMP1L,H0YD09,unreviewed,H0YD09_HUMAN,Inner mitochondrial membrane peptidase subunit 1,IMMP1L,Homo sapiens (Human),30,H0YD09_IMMP1L
PRCP,P42785,reviewed,PCP_HUMAN,Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Angiotensinase C) (Lysosomal carboxypeptidase C) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP),PRCP PCP,Homo sapiens (Human),496,P42785_PRCP
PRCP,A0A024R5L0,unreviewed,A0A024R5L0_HUMAN,"Prolylcarboxypeptidase (Angiotensinase C), isoform CRA_a",PRCP hCG_27286,Homo sapiens (Human),496,A0A024R5L0_PRCP
PRCP,A0A7P0TB23,unreviewed,A0A7P0TB23_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),332,A0A7P0TB23_PRCP
PRCP,A0A7P0Z451,unreviewed,A0A7P0Z451_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),292,A0A7P0Z451_PRCP
PRCP,B3KR26,unreviewed,B3KR26_HUMAN,"Prolylcarboxypeptidase (cDNA FLJ33528 fis, clone BRAMY2007110, highly similar to Lysosomal Pro-X carboxypeptidase)",PRCP,Homo sapiens (Human),128,B3KR26_PRCP
PRCP,B7Z7Q6,unreviewed,B7Z7Q6_HUMAN,"Prolylcarboxypeptidase (cDNA FLJ57232, highly similar to Lysosomal Pro-X carboxypeptidase (EC3.4.16.2))",PRCP,Homo sapiens (Human),391,B7Z7Q6_PRCP
PRCP,E9PKN6,unreviewed,E9PKN6_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),192,E9PKN6_PRCP
PRCP,E9PL49,unreviewed,E9PL49_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),43,E9PL49_PRCP
PRCP,E9PL85,unreviewed,E9PL85_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),147,E9PL85_PRCP
PRCP,E9PLY4,unreviewed,E9PLY4_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),325,E9PLY4_PRCP
PRCP,E9PNF7,unreviewed,E9PNF7_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),442,E9PNF7_PRCP
PRCP,E9PNJ1,unreviewed,E9PNJ1_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),163,E9PNJ1_PRCP
PRCP,E9PQB5,unreviewed,E9PQB5_HUMAN,Prolylcarboxypeptidase,PRCP,Homo sapiens (Human),145,E9PQB5_PRCP
DPP7,Q9UHL4,reviewed,DPP2_HUMAN,Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase),DPP7 DPP2 QPP,Homo sapiens (Human),492,Q9UHL4_DPP7
DPP7,A0A9L9PXE7,unreviewed,A0A9L9PXE7_HUMAN,Dipeptidyl peptidase 7,DPP7,Homo sapiens (Human),355,A0A9L9PXE7_DPP7
DPP7,A0A9L9PXM1,unreviewed,A0A9L9PXM1_HUMAN,Dipeptidyl peptidase 7,DPP7,Homo sapiens (Human),204,A0A9L9PXM1_DPP7
DPP7,A0A9L9PY12,unreviewed,A0A9L9PY12_HUMAN,Dipeptidyl peptidase 7,DPP7,Homo sapiens (Human),210,A0A9L9PY12_DPP7
DPP7,R4GMV4,unreviewed,R4GMV4_HUMAN,Dipeptidyl peptidase 7,DPP7,Homo sapiens (Human),127,R4GMV4_DPP7
DPP7,R4GN05,unreviewed,R4GN05_HUMAN,Dipeptidyl peptidase 7,DPP7,Homo sapiens (Human),205,R4GN05_DPP7
PRSS16,Q9NQE7,reviewed,TSSP_HUMAN,Thymus-specific serine protease (EC 3.4.-.-) (Serine protease 16),PRSS16 TSSP,Homo sapiens (Human),514,Q9NQE7_PRSS16
PRSS16,B4DZV2,unreviewed,B4DZV2_HUMAN,"Serine protease 16 (cDNA FLJ52815, highly similar to Thymus-specific serine protease)",PRSS16,Homo sapiens (Human),145,B4DZV2_PRSS16
PRSS16,C9JDN6,unreviewed,C9JDN6_HUMAN,Serine protease 16,PRSS16,Homo sapiens (Human),166,C9JDN6_PRSS16
PRSS16,F2Z2N5,unreviewed,F2Z2N5_HUMAN,Serine protease 16,PRSS16,Homo sapiens (Human),257,F2Z2N5_PRSS16
PRSS16,F8WBG5,unreviewed,F8WBG5_HUMAN,Serine protease 16,PRSS16,Homo sapiens (Human),92,F8WBG5_PRSS16
PRSS16,F8WF25,unreviewed,F8WF25_HUMAN,Serine protease 16,PRSS16,Homo sapiens (Human),99,F8WF25_PRSS16
PRSS16,H0Y893,unreviewed,H0Y893_HUMAN,Serine protease 16,PRSS16,Homo sapiens (Human),138,H0Y893_PRSS16
PRSS16,H0Y8B9,unreviewed,H0Y8B9_HUMAN,Serine protease 16,PRSS16,Homo sapiens (Human),164,H0Y8B9_PRSS16
ABHD4,Q8TB40,reviewed,ABHD4_HUMAN,(Lyso)-N-acylphosphatidylethanolamine lipase (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 4) (Abhydrolase domain-containing protein 4) (Alpha/beta-hydrolase 4),ABHD4,Homo sapiens (Human),342,Q8TB40_ABHD4
ABHD4,F5GZC9,unreviewed,F5GZC9_HUMAN,"Abhydrolase domain containing 4, N-acyl phospholipase B",ABHD4,Homo sapiens (Human),44,F5GZC9_ABHD4
ABHD4,F5H067,unreviewed,F5H067_HUMAN,"Abhydrolase domain containing 4, N-acyl phospholipase B",ABHD4,Homo sapiens (Human),85,F5H067_ABHD4
ABHD4,F5H6T0,unreviewed,F5H6T0_HUMAN,"Abhydrolase domain containing 4, N-acyl phospholipase B",ABHD4,Homo sapiens (Human),90,F5H6T0_ABHD4
ABHD4,H0YFD5,unreviewed,H0YFD5_HUMAN,"Abhydrolase domain containing 4, N-acyl phospholipase B",ABHD4,Homo sapiens (Human),54,H0YFD5_ABHD4
ABHD4,J3KMW0,unreviewed,J3KMW0_HUMAN,"Abhydrolase domain containing 4, N-acyl phospholipase B",ABHD4,Homo sapiens (Human),149,J3KMW0_ABHD4
EPHX1,P07099,reviewed,HYEP_HUMAN,Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH),EPHX1 EPHX EPOX,Homo sapiens (Human),455,P07099_EPHX1
EPHX1,A0A0S2Z3T1,unreviewed,A0A0S2Z3T1_HUMAN,Epoxide hydrolase 1 microsomal isoform 2,EPHX1,Homo sapiens (Human),60,A0A0S2Z3T1_EPHX1
EPHX1,B1AQP8,unreviewed,B1AQP8_HUMAN,Epoxide hydrolase 1,EPHX1,Homo sapiens (Human),136,B1AQP8_EPHX1
EPHX1,Q6FGZ3,unreviewed,Q6FGZ3_HUMAN,Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase),EPHX1,Homo sapiens (Human),455,Q6FGZ3_EPHX1
EPHX1,R4SBI6,unreviewed,R4SBI6_HUMAN,Epoxide hydrolase (EC 3.3.2.9),EPHX1 hCG_2039431,Homo sapiens (Human),455,R4SBI6_EPHX1
MEST,Q5EB52,reviewed,MEST_HUMAN,Mesoderm-specific transcript homolog protein (EC 3.-.-.-) (Paternally-expressed gene 1 protein),MEST PEG1,Homo sapiens (Human),335,Q5EB52_MEST
MEST,A0A024R768,unreviewed,A0A024R768_HUMAN,"Mesoderm specific transcript homolog (Mouse) (Mesoderm specific transcript homolog (Mouse), isoform CRA_b)",MEST hCG_18967 tcag7.331,Homo sapiens (Human),335,A0A024R768_MEST
MEST,A4D1L9,unreviewed,A4D1L9_HUMAN,"Mesoderm specific transcript homolog (Mouse) (Mesoderm specific transcript homolog (Mouse), isoform CRA_a)",MEST hCG_18967 tcag7.331,Homo sapiens (Human),326,A4D1L9_MEST
MEST,C9JCM6,unreviewed,C9JCM6_HUMAN,Mesoderm specific transcript,MEST,Homo sapiens (Human),169,C9JCM6_MEST
MEST,C9JG66,unreviewed,C9JG66_HUMAN,Mesoderm specific transcript,MEST,Homo sapiens (Human),117,C9JG66_MEST
MEST,C9JRA9,unreviewed,C9JRA9_HUMAN,Mesoderm specific transcript,MEST,Homo sapiens (Human),160,C9JRA9_MEST
MEST,C9JUD2,unreviewed,C9JUD2_HUMAN,Mesoderm specific transcript,MEST,Homo sapiens (Human),188,C9JUD2_MEST
MEST,C9JW74,unreviewed,C9JW74_HUMAN,Mesoderm specific transcript,MEST,Homo sapiens (Human),325,C9JW74_MEST
MEST,C9JWU9,unreviewed,C9JWU9_HUMAN,Mesoderm specific transcript,MEST,Homo sapiens (Human),213,C9JWU9_MEST
MEST,R4GN52,unreviewed,R4GN52_HUMAN,Mesoderm specific transcript,MEST,Homo sapiens (Human),173,R4GN52_MEST
EPHX4,Q8IUS5,reviewed,EPHX4_HUMAN,Epoxide hydrolase 4 (EC 3.3.-.-) (Abhydrolase domain-containing protein 7) (Epoxide hydrolase-related protein),EPHX4 ABHD7 EH4 EPHXRP,Homo sapiens (Human),362,Q8IUS5_EPHX4
ABHD5,Q8WTS1,reviewed,ABHD5_HUMAN,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58),ABHD5 NCIE2 CGI-58,Homo sapiens (Human),349,Q8WTS1_ABHD5
ABHD5,A0A0M3LN66,unreviewed,A0A0M3LN66_HUMAN,Truncated abhydrolase domain-containing protein 5 (EC 2.3.1.51),ABHD5,Homo sapiens (Human),98,A0A0M3LN66_ABHD5
ABHD5,A0A0S2Z572,unreviewed,A0A0S2Z572_HUMAN,Abhydrolase domain containing 5 isoform 2,ABHD5,Homo sapiens (Human),249,A0A0S2Z572_ABHD5
ABHD5,A0A0S2Z5D6,unreviewed,A0A0S2Z5D6_HUMAN,Abhydrolase domain containing 5 isoform 1,ABHD5,Homo sapiens (Human),349,A0A0S2Z5D6_ABHD5
ABHD5,A0A2R8Y7S6,unreviewed,A0A2R8Y7S6_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),84,A0A2R8Y7S6_ABHD5
ABHD5,A0A2R8YER6,unreviewed,A0A2R8YER6_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),66,A0A2R8YER6_ABHD5
ABHD5,A0A2R8YEZ7,unreviewed,A0A2R8YEZ7_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),228,A0A2R8YEZ7_ABHD5
ABHD5,A0A2R8YG22,unreviewed,A0A2R8YG22_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),92,A0A2R8YG22_ABHD5
ABHD5,A0A2R8YG27,unreviewed,A0A2R8YG27_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),50,A0A2R8YG27_ABHD5
ABHD5,A0A2U3TZT9,unreviewed,A0A2U3TZT9_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),278,A0A2U3TZT9_ABHD5
ABHD5,A0A6B9MC78,unreviewed,A0A6B9MC78_HUMAN,Abhydrolase domain containing protein 5 (EC 2.3.1.51),ABHD5,Homo sapiens (Human),62,A0A6B9MC78_ABHD5
ABHD5,A0A8E4IIP3,unreviewed,A0A8E4IIP3_HUMAN,Truncated abhydrolase domain-containing 5 protein (EC 2.3.1.51),ABHD5,Homo sapiens (Human),200,A0A8E4IIP3_ABHD5
ABHD5,C9J1D1,unreviewed,C9J1D1_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),308,C9J1D1_ABHD5
ABHD5,C9JBM3,unreviewed,C9JBM3_HUMAN,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",ABHD5,Homo sapiens (Human),126,C9JBM3_ABHD5
ABHD5,F6K7K2,unreviewed,F6K7K2_HUMAN,Truncated abhydrolase domain containing 5 (EC 2.3.1.51),ABHD5,Homo sapiens (Human),16,F6K7K2_ABHD5
ABHD5,F6K7K3,unreviewed,F6K7K3_HUMAN,Truncated abhydrolase domain containing 5 (EC 2.3.1.51),ABHD5,Homo sapiens (Human),71,F6K7K3_ABHD5
